"id";"type";"amount";"productid";"consumptionid";"creationdate";"creationuser";"updatedate";"updateuser"
9;1;2,0;46;6;17/03/2013 09:38:42;"HANS";17/03/2013 17:28:08;"HANS"
10;1;3,0;47;7;17/03/2013 09:52:12;"INGE";17/03/2013 21:33:52;"INGE"
11;1;1,0;16;7;17/03/2013 09:59:13;"INGE";17/03/2013 21:33:52;"INGE"
13;3;60,0;48;7;17/03/2013 13:39:32;"INGE";17/03/2013 21:33:52;"INGE"
14;3;30,0;52;7;17/03/2013 13:42:39;"INGE";17/03/2013 21:33:52;"INGE"
15;3;1,0;51;7;17/03/2013 13:44:06;"INGE";17/03/2013 21:33:52;"INGE"
16;3;120,0;48;6;17/03/2013 13:51:27;"HANS";17/03/2013 17:28:08;"HANS"
17;3;1,0;50;6;17/03/2013 13:51:37;"HANS";17/03/2013 17:28:08;"HANS"
18;3;1,0;22;6;17/03/2013 13:51:51;"HANS";17/03/2013 17:28:08;"HANS"
19;3;30,0;52;6;17/03/2013 13:52:09;"HANS";17/03/2013 17:28:08;"HANS"
20;4;0,5;47;6;17/03/2013 17:23:56;"HANS";17/03/2013 17:28:08;"HANS"
21;4;250,0;53;6;17/03/2013 17:27:24;"HANS";17/03/2013 17:28:08;"HANS"
24;1;30,0;54;9;18/03/2013 08:22:03;"HANS";18/03/2013 22:38:31;"HANS"
25;1;0,5;13;9;18/03/2013 08:22:30;"HANS";18/03/2013 22:38:31;"HANS"
26;1;1,0;16;8;18/03/2013 08:32:43;"INGE";18/03/2013 22:08:41;"INGE"
27;1;30,0;40;8;18/03/2013 08:33:45;"INGE";18/03/2013 22:08:41;"INGE"
28;1;1,0;55;8;18/03/2013 08:37:06;"INGE";18/03/2013 22:08:41;"INGE"
29;2;2,0;58;8;18/03/2013 12:31:14;"INGE";18/03/2013 22:08:41;"INGE"
30;2;1,0;59;8;18/03/2013 12:32:23;"INGE";18/03/2013 22:08:41;"INGE"
31;3;3,0;13;8;18/03/2013 12:32:36;"INGE";18/03/2013 22:08:41;"INGE"
32;3;30,0;52;8;18/03/2013 12:33:19;"INGE";18/03/2013 22:08:41;"INGE"
34;3;2,0;60;8;18/03/2013 12:36:03;"INGE";18/03/2013 22:08:41;"INGE"
35;3;2,0;61;8;18/03/2013 12:39:22;"INGE";18/03/2013 22:08:41;"INGE"
